"Time","Activity","HR","Cadence"
"0:06:42","running",143,82
"0:06:44","running",143,82
"0:06:46","running",144,82
"0:06:48","running",145,82
"0:06:50","running",145,82
"0:06:52","running",143,82
"0:06:54","running",143,82
"0:06:56","running",143,82
"0:06:58","running",144,81
"0:07:00","running",145,82
"0:07:02","running",146,82
"0:07:04","running",147,82
"0:07:06","running",149,82
"0:07:08","running",150,82
"0:07:10","running",151,81
"0:07:12","running",151,82
"0:07:14","running",151,82
"0:07:16","running",151,82
"0:07:18","running",150,82
"0:07:20","running",151,82
"0:07:22","running",151,85
"0:07:24","running",151,84
"0:07:26","running",152,83
"0:07:28","running",151,83
"0:07:30","running",152,83
"0:07:32","running",154,83
"0:07:34","running",153,82
"0:07:36","running",152,81
"0:07:38","running",151,82
"0:07:40","running",151,84
"0:07:42","running",151,83
"0:07:44","running",152,83
"0:07:46","running",152,83
"0:07:48","running",153,83
"0:07:50","running",153,82
"0:07:52","running",154,81
"0:07:54","running",155,82
"0:07:56","running",156,82
"0:07:58","running",156,82
"0:08:00","running",155,82
"0:08:02","running",154,82
"0:08:04","running",153,82
"0:08:06","running",153,82
"0:08:08","running",154,82
"0:08:10","running",156,82
"0:08:12","running",155,82
"0:08:14","running",152,81
"0:08:16","running",151,81
"0:08:18","running",151,81
"0:08:20","running",151,81
"0:08:22","running",153,83
"0:08:24","running",154,87
"0:08:26","running",155,84
"0:08:28","running",155,83
"0:08:30","running",155,83
"0:08:32","running",155,83
"0:08:34","running",156,81
"0:08:36","running",157,81
"0:08:38","running",158,81
"0:08:40","running",159,82
"0:08:42","running",158,82
"0:08:44","running",158,82
"0:08:46","running",157,84
"0:08:48","running",157,83
"0:08:50","running",158,83
"0:08:52","running",158,83
"0:08:54","running",158,83
"0:08:56","running",157,83
"0:08:58","running",157,83
"0:09:00","running",156,82
"0:09:02","running",157,82
"0:09:04","running",158,81
"0:09:06","running",157,82
"0:09:08","running",155,82
"0:09:10","running",154,82
"0:09:12","running",155,82
"0:09:14","running",157,82
"0:09:16","running",158,81
"0:09:18","running",158,81
"0:09:20","running",157,81
"0:09:22","running",157,81
"0:09:24","running",157,81
"0:09:26","running",156,82
"0:09:28","running",157,82
"0:09:30","running",158,82
"0:09:32","running",158,81
"0:09:34","running",158,81
"0:09:36","running",158,81
"0:09:38","running",158,81
"0:09:40","running",157,82
"0:09:42","running",158,82
"0:09:44","running",158,81
"0:09:46","running",158,81
"0:09:48","running",158,81
"0:09:50","running",158,82
"0:09:52","running",157,82
"0:09:54","running",156,82
"0:09:56","running",155,82
"0:09:58","running",155,82
"0:10:00","running",156,81
"0:10:02","running",157,81
"0:10:04","running",156,82
"0:10:06","running",155,82
"0:10:08","running",155,81
"0:10:10","running",156,81
"0:10:12","running",157,81
"0:10:14","running",158,82
"0:10:16","running",158,82
"0:10:18","running",158,81
"0:10:20","running",159,81
"0:10:22","running",158,81
"0:10:24","running",158,81
"0:10:26","running",158,81
"0:10:28","running",157,81
"0:10:30","running",158,81
"0:10:32","running",158,81
"0:10:34","running",158,81
"0:10:36","running",158,81
"0:10:38","running",158,82
"0:10:40","running",158,82
"0:10:42","running",158,82
"0:10:44","running",159,81
"0:10:46","running",157,81
"0:10:48","running",156,82
"0:10:50","running",156,81
